Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units
NSRDB,123456,-,-,-,0,0.11,-5,19,-5,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2015,1,3,1,30,0,0,0,7,-3,153.96,0.070100002,1.2,0.715,205.4,83.18,-1,1020
2015,1,3,2,0,0,0,0,7,-3,149.12,0.070100002,1.2,0.733,216.6,86.19,-2,1020
2015,1,3,2,30,0,0,0,7,-3,143.86,0.070100002,1.2,0.746,216.6,86.2,-2,1020
2015,1,3,3,0,0,0,0,7,-4,138.37,0.070100002,1.3,0.76,224.1,84.3,-2,1020
2015,1,3,3,30,0,0,0,7,-4,132.75,0.070100002,1.2,0.773,224.1,84.32,-2,1030
2015,1,3,4,0,0,0,0,7,-4,127.08,0.070100002,1.2,0.786,230.8,89.74,-3,1030
2015,1,3,4,30,0,0,0,7,-4,121.41,0.070100002,1.1,0.811,230.8,89.77,-3,1030
2015,1,3,5,0,0,0,0,7,-4,115.77,0.070100002,1.1,0.837,241.5,89.7,-3,1030
2015,1,3,5,30,0,0,0,4,-4,110.19,0.070100002,1.1,0.886,241.5,89.72,-3,1030
2015,1,3,6,0,0,0,0,4,-4,104.72,0.070100002,1.2,0.936,254.1,91.55,-3,1030
2015,1,3,6,30,0,0,0,1,-4,99.38,0.070100002,1.2,0.988,254.1,85.02,-2,1030
2015,1,3,7,0,0,0,0,4,-3,94.21,0.070100002,1.3,1.041,266.2,87.84,-2,1030
2015,1,3,7,30,0,0,0,4,-3,89.25,0.070100002,1.3,1.09,266.2,81.63,-1,1030
2015,1,3,8,0,34,295,62,0,-2,84.54,0.070100002,1.3,1.14,274.6,80.55,0,1030
2015,1,3,8,30,52,0,52,4,-2,80.15,0.070100002,1.5,1.196,274.6,80.56,0,1030
2015,1,3,9,0,78,0,78,4,-2,76.13,0.070100002,1.7,1.253,274.8,85.07,0,1030
2015,1,3,9,30,68,0,68,4,-2,72.54,0.070100002,1.9,1.335,274.8,79.13,1,1030
2015,1,3,10,0,127,7,129,4,-1,69.45,0.070100002,2.1,1.417,290.9,76.99,2,1030
2015,1,3,10,30,39,0,39,4,-1,66.95,0.070100002,2.2,1.543,290.9,76.95,2,1030
2015,1,3,11,0,107,0,107,4,0,65.1,0.070100002,2.3,1.669,302.3,76.57,3,1030
2015,1,3,11,30,75,0,75,8,0,63.96,0.070100002,2.3,1.821,302.3,76.52,3,1030
2015,1,3,12,0,44,0,44,4,0,63.57,0.070100002,2.3,1.973,306.3,77.47,4,1020
2015,1,3,12,30,16,0,16,4,0,63.94,0.070100002,2.2,2.107,306.3,83.08,3,1020
2015,1,3,13,0,164,27,176,7,1,65.06,0.070100002,2.2,2.241,296.3,89.72,3,1020
2015,1,3,13,30,24,0,24,6,1,66.88,0.070100002,2.2,2.319,296.3,96.27,2,1020
2015,1,3,14,0,89,0,89,7,2,69.37,0.070100002,2.2,2.398,285.2,100,2,1020
2015,1,3,14,30,85,0,85,7,2,72.43,0.070100002,2.1,2.439,285.2,100,2,1020
2015,1,3,15,0,20,0,20,6,2,76.01,0.070100002,2,2.481,283.1,100,2,1020
2015,1,3,15,30,13,0,13,6,2,80.02,0.070100002,2,2.507,283.1,100,2,1020
2015,1,3,16,0,6,0,6,7,2,84.4,0.070100002,2,2.534,279.6,100,2,1020
2015,1,3,16,30,0,0,0,7,2,89.09,0.070100002,2.1,2.567,279.6,100,2,1020
2015,1,3,17,0,0,0,0,7,2,94.05,0.070100002,2.2,2.602,280.6,100,2,1020
2015,1,3,17,30,0,0,0,4,2,99.21,0.070100002,2.2,2.624,280.6,100,2,1020
2015,1,3,18,0,0,0,0,7,2,104.55,0.070100002,2.2,2.647,293.8,100,2,1020
2015,1,3,18,30,0,0,0,7,2,110.02,0.070100002,2.1,2.732,293.8,100,2,1020
2015,1,3,19,0,0,0,0,7,2,115.59,0.070100002,2,2.817,303.3,100,3,1020
2015,1,3,19,30,0,0,0,7,2,121.23,0.070100002,1.8,2.93,303.3,100,3,1020
2015,1,3,20,0,0,0,0,7,2,126.9,0.070100002,1.7,3.043,315.6,100,3,1020
2015,1,3,20,30,0,0,0,7,2,132.57,0.070100002,1.5,3.121,315.6,100,3,1020
2015,1,3,21,0,0,0,0,7,4,138.18,0.070100002,1.4,3.2,326.9,100,4,1020
2015,1,3,21,30,0,0,0,7,4,143.67,0.070100002,1.2,3.267,326.9,100,4,1010
2015,1,3,22,0,0,0,0,7,4,148.93,0.070100002,1.2,3.334,338.1,100,4,1010
2015,1,3,22,30,0,0,0,7,4,153.78,0.070100002,1.1,3.386,338.1,100,4,1010
2015,1,3,23,0,0,0,0,6,4,157.92,0.070100002,1,3.438,351.1,100,4,1010
2015,1,3,23,30,0,0,0,6,4,160.86,0.070100002,0.9,3.488,351.1,100,4,1010
2015,1,4,0,0,0,0,0,6,4,161.98,0.070100002,0.9,3.539,10.1,100,4,1010
2015,1,4,0,30,0,0,0,6,4,160.94,0.070100002,0.9,3.583,10.1,100,4,1010
2015,1,4,1,0,0,0,0,7,4,158.06,0.070100002,1,3.627,23.7,100,4,1010
2015,1,4,1,30,0,0,0,7,4,153.96,0.070100002,1,3.57,23.7,100,4,1010
2015,1,4,2,0,0,0,0,0,4,149.13,0.070100002,1,3.515,44.7,100,4,1010
2015,1,4,2,30,0,0,0,0,2,143.88,0.070100002,1,3.395,44.7,100,3,1010
2015,1,4,3,0,0,0,0,7,2,138.39,0.070100002,1,3.275,50.8,100,3,1010
